Product Name,Current Price,Original Price,Rating,Number of Reviews,Top Rated,Best Seller,Clearance,New,Color
UGG Women's Classic Mini Platform Boot,$200.00,,4.5,273,True,False,False,False,CHESTNUT
Helly Hansen Women's Stalheim Waterproof Breathable Hiking Boots,$169.99,,2.0,1,False,False,False,False,BLACK
Kamik Women's Ariel F Boots,$169.99,,0.0,0,False,False,False,False,BLACK
Kamik Women's Ariel F Boots,$169.99,,0.0,0,False,False,False,False,COGNAC
Kamik Women's Ariel F Boots,$169.99,,0.0,0,False,False,False,False,DARK BROWN
Kamik Women's Ariel F Boots,$169.99,,0.0,0,False,False,False,False,TAUPE
Helly Hansen Men's Tsuga Ankle Boots,$88.88,$111.97,4.4,79,True,False,True,False,WHEAT
Merrell Men's Moab Speed 2 Mid GORE-TEX Hiking Boots,$229.99,,4.5,41,True,False,False,False,BLACK
Merrell Men's Moab Speed 2 Mid GORE-TEX Hiking Boots,$229.99,,4.5,41,True,False,False,False,RYE
KEEN Women's Koven Hiking Boots,$179.99,,4.5,105,True,False,False,False,GRAY
Sorel Kids' Yoot Pac Nylon Hiking Waterproof Insulated Sherpa Boots,$110.00,,4.8,32,True,False,False,False,HIKER GREEN
Keen Men's Pyrenees Hiking Boots,$229.99,,4.2,335,True,False,False,False,BROWN
Keen Men's Pyrenees Hiking Boots,$229.99,,4.2,335,True,False,False,False,KEEN MAPLE/ MARMALADE
Keen Men's Pyrenees Hiking Boots,$229.99,,4.2,335,True,False,False,False,NAVY BLUE
Sperry Women's Saltwater Quilt Nylon Boots,$159.99,,4.5,534,True,False,False,False,BLACK
Kamik Kids' Snow Mate Waterproof Insulated LightweightWinter Boots,$89.99,,0.0,0,False,False,False,False,BLACK
"Kamik Women's Heidi 2 Rain Boots, Waterproof, Vegan-friendly",$34.97,$43.97,4.0,1,False,False,True,False,BLACK
Timberland Men's GreenStride Motion 6 Boots,$180.00,,5.0,5,False,False,False,False,RUST NUBUCK
Ripzone Toddler Kids' Neil Rain Boots,$9.88,$10.97,4.4,26,True,False,True,False,ANTHRACITE
Ripzone Toddler Kids' Neil Rain Boots,$9.88,$10.97,4.4,26,True,False,True,False,DANDELION
Scarpa Men's Maverick Mid Gore-Tex Hiking Boots,$143.97,$185.97,0.0,0,False,True,True,False,BLACK
The North Face Men’s VECTIV™️ Fastpack Mid FUTURELIGHT™ Waterproof Mesh Hiking Boots,$110.88,$138.97,4.5,255,True,False,True,False,DEMITASSE BROWN
Vasque Men's Elias FG GTX Hiking Boots,$166.97,$193.97,4.3,46,True,False,True,False,COGNAC
Rockport Men's Weather or Not Boots,$200.00,,0.0,0,False,False,False,False,BLACK
Rockport Men's Weather or Not Boots,$200.00,,0.0,0,False,False,False,False,POST
Timberland Men's Davis Square Chukka Boots,$99.99,,4.5,239,True,False,False,False,BLACK
Timberland Men's Davis Square Chukka Boots,$99.99,,4.5,239,True,False,False,False,RUST NUBUCK
Keen Men's Pyrenees Hiking Boots,$229.99,,4.0,7,False,False,False,False,BLACK/LEGION BLUE
Columbia Men's Newton Ridge Plus II Waterproof Leather Hiking Boots,$118.97,$159.99,4.6,519,True,False,True,False,DK BROWN
Salomon Women's Quest Element Gore-Tex Leather Hiking Boots,$128.97,$161.97,0.0,0,False,False,True,False,SAND
Nike Men's Manoa Boots,$124.99,,4.6,303,True,False,False,False,WHEAT
UGG Women's Classic Ultra Mini Platform Boot,$195.00,,4.4,613,True,False,False,False,BLACK
Merrell Men's Yokota Hiking Boots,$64.88,$81.97,4.4,142,True,False,True,False,CHARCOAL
Sorel Men's Metro II Waterproof Sneak Boots,$159.99,,4.6,12,False,False,False,True,VELVET TAN
Merrell Men's MQM 3 Mid Gore-Tex Hiking Boots,$219.99,,4.1,57,True,False,False,False,BLACK/EXUBERANCE
Merrell X Jeep Women's Moab 3 Suede Waterproof Hiking Boots,$141.97,$219.99,4.6,50,True,False,True,False,BLUE
Helly Hansen Men's Switchback Boot 2 HT Hiking Shoes,$179.99,,0.0,0,False,False,False,False,BLACK
UGG Men's Neumel Suede Boots,$130.97,$175.00,4.9,2989,True,False,True,False,BLACK
Rockport Men's Garett Boots,$175.00,,0.0,0,False,False,False,False,COGNAC
Bogs Toddler Kids' Skipper II Super Dino Rain Boots,$32.97,$55.00,4.4,7,False,False,True,False,NAVY MULTI
Merrell Women's Crosslander 3 Mid Waterproof Hiking Shoes,$174.99,,5.0,1,False,False,False,False,BRACKEN/FALCON
Kamik Kids' Pre-School Riptide Rainboots,$21.97,$27.97,0.0,0,False,False,True,False,LILAC
Under Armour Men's Charged Bandit Trek 2 Lightweight Mesh Hiking Shoes,$88.97,$139.99,4.5,166,True,False,True,False,BLACK/ PITCH GREY
Salomon Men's Ultra 4 GORE-TEX Waterproof Textile Hiking Shoes,$209.99,,4.1,520,True,False,False,False,BLACK
Bogs Toddler Girls' Skipper II Strawberries Moss Rain Boots,$32.97,$55.00,4.4,7,False,False,True,False,STRAWBERRIES MOSS MULTI
The North Face Men’s Hedgehog 3 Mid Waterproof Boot,$199.99,,4.7,42,True,False,False,False,BROWN
Sperry Women's Torrent Winter Lace Up Waterproof Boot,$219.99,,4.6,28,True,False,False,False,BLACK
Sperry Women's Torrent Winter Lace Up Waterproof Boot,$219.99,,4.6,28,True,False,False,False,TAN
Columbia Men's Fairbanks Mid Waterproof Textile Hiking Shoes,$149.99,,4.2,172,True,False,False,False,BLACK
Ripzone Women's Maya Rain Boots,$44.99,,2.7,40,False,False,False,False,BLACK
"Salomon Women's Ultra 4 Hiking Shoes, All Terrain, Non-Slip",$87.88,$110.97,3.8,60,False,False,True,False,BLACK
Merrell Women's Siren Edge 3 Hiking Boots,$149.99,,4.5,501,True,False,False,False,GRANITE/CORAL
Merrell Women's Moab 3 Hiking Boots,$169.99,,4.6,217,True,False,False,False,ALUMINUM
Merrell Women's MQM 3 Hiking Boots,$159.99,,4.5,38,True,False,False,False,CHARCOAL/TEAL
Merrell Women's Bravada 2 Hiking Boots,$154.99,,4.4,162,True,False,False,False,BLACK
KEEN Women's Targhee III Hiking Boots,$199.99,,4.1,366,True,False,False,False,BROWN
KEEN Women's Targhee III Hiking Boots,$199.99,,4.1,366,True,False,False,False,WEISS/BOYSENBERRY
Merrell Women's Moab Speed Hiking Boots,$199.99,,4.4,165,True,False,False,False,LT GREEN
On Men's Cloudrock 2 Waterproof Mid Hiking Boots,$279.99,,0.0,0,False,False,False,False,BLACK
Merrell Women's Siren Edge 3 Hiking Boots,$169.99,,4.2,224,True,False,False,False,BLACK/VIOLET
Scarpa Women 's Rush Mid Gore-Tex Lightweight Waterproof Hiking Shoes,$122.97,$154.97,5.0,1,False,False,True,False,BLACK
Scarpa Women's Kailash Plus Hiking Boots,$399.00,,4.0,6,False,False,False,False,DARK BROWN
KEEN Women's Revel III Hiking Boots,$219.99,,4.5,202,True,False,False,False,BLACK
KEEN Women's Revel III Hiking Boots,$219.99,,4.5,202,True,False,False,False,BLACK/ROSE
Merrell Women's Cham 8 Thermo Tall Hiking Winter Boots,$229.99,,4.5,106,True,False,False,False,BLACK
Merrell Men's Moab 3 Mid Leather Wide Hiking Boots,$189.99,,4.6,216,True,False,False,False,BELUGA
Merrell Men's Moab 3 Mid Leather Wide Hiking Boots,$189.99,,4.6,216,True,False,False,False,EARTH
Merrell Men's Moab 3 Leather Wide Hiking Boots,$149.99,,4.5,282,True,False,False,False,WALNUT
Merrell Men's Moab Hiking Boots,$189.99,,4.3,324,True,False,False,False,BELUGA
Merrell Men's Moab 3 Mid Waterproof Leather Hiking Boots,$189.99,,4.3,308,True,False,False,False,EARTH
Merrell Men's Moab 3 Mid Waterproof Leather Hiking Boots,$189.99,,4.3,308,True,False,False,False,OLIVE
Merrell Men's Moab Waterproof Leather Hiking Boots,$239.99,,3.3,3,False,False,False,False,BROWN
La Sportiva Women's TX Hike Mid GORE-TEX Waterproof Hiking Boots,$239.99,,0.0,0,False,False,False,False,CHARCOAL
Merrell Men's Crosslander 2 Hiking Boots,$174.99,,4.3,86,True,False,False,False,BLACK
Merrell Women's Siren Traveller 3 Waterproof Hiking Boots,$199.99,,4.4,165,True,False,False,False,BROWN
Merrell Men's Moab 3 Leather Wide Hiking Boots,$149.99,,4.4,242,True,False,False,False,GRANITE V2
Keen Women's Nxis Evo Mid Waterproof Lightweight Hiking Boots,$98.88,$124.97,3.0,1,False,False,True,False,FAWN/PEACH WHIP
The North Face Men’s Hedgehog 3 Mid Waterproof Boot,$179.99,,4.0,39,True,False,False,False,DK GREEN
Helly Hansen Men's Traverse HELLY TECH® Hiking Boots,$239.99,,0.0,0,False,True,False,False,RED
Scarpa Men's Kailash Plus GORE-TEX Hiking Boots,$399.00,,3.2,5,False,False,False,False,DARK BROWN
Helly Hansen Men's Stalheim Hellytech Hiking Boots,$169.99,,0.0,0,False,False,False,False,DARK BLUE
Columbia Women's Newton Ridge Plus Waterproof Hiking Shoes,$88.88,$119.97,4.6,691,True,False,True,False,BROWN
Columbia Women's Newton Ridge Plus Waterproof Hiking Shoes,$88.88,$119.97,4.6,691,True,False,True,False,GRAY
Merrell Men's Moab 3 Vent Hiking Boots,$169.99,,4.5,174,True,False,False,False,WALNUT
KEEN Men's Koven Waterproof Leather Hiking Boots,$179.99,,4.3,164,True,False,False,False,MAGNET/FIRED BRICK
Helly Hansen Men's Switchback Airflow Hiking Boots,$139.99,,0.0,0,False,False,False,False,BROWN
Keen Women's Targhee IV Waterproof Hiking Boots,$199.99,,4.4,29,True,False,False,False,BRINDLE/NOSTALGIA ROSE
Keen Women's Targhee IV Mid Waterproof Hiking Boots,$219.99,,4.8,55,True,False,False,False,ALLOY/GRANITE GREEN
Keen Women's Circadia Mid Waterproof Hiking Boots,$179.99,,4.0,23,True,False,False,False,STEEL GREY/CLOUD BLUE
Keen Women's Circadia Mid Waterproof Hiking Boots,$179.99,,4.0,23,True,False,False,False,TOASTED COCONUT/NORTH ATLANTIC
Scarpa Men's Mescalito TRK GORE-TEX Hiking Boots,$399.00,,5.0,1,False,False,False,False,BLACK
Timberland Men's Greenstride Motion 6 Mid Hiking Boots,$149.99,,4.8,5,False,False,False,False,LT BROWN
Woods Men's Firth Mid Hiking Shoes,$70.97,$94.97,3.0,2,False,False,True,False,BROWN
Merrell Men's Moab Adventure 3 Waterproof Hiking Boots,$122.88,$141.97,4.6,41,True,False,True,False,EARTH
Keen Canada Outdoor Boys' Youth Years Targhee Waterproof Mid Hiking Boots Brown,$52.97,$68.97,4.1,57,True,False,True,False,DARK EARTH/GOLDEN BROWN
Scarpa Women's Maverick Mid GORE-TEX Trail Boots,$248.99,,0.0,0,False,False,False,False,GRAY
